YearStart,YearEnd,LocationAbbr,LocationDesc,Topic,Question,DataValue,DataValueUnit,DataValueType,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2
2020,2020,TX,Texas,Mental Health,Average mentally unhealthy days among adults,0.0,Number,Age-adjusted Mean,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,Overall
2020,2020,WY,Wyoming,Mental Health,Depression among adults,18.2,%,Age-adjusted Prevalence,Race/Ethnicity,Hispanic,,Overall
2020,2020,UT,Utah,Mental Health,Depression among adults,23.1,%,Crude Prevalence,Overall,Overall,,Overall
2020,2020,VA,Virginia,Mental Health,Average mentally unhealthy days among adults,3.1,Number,Age-adjusted Mean,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,WI,Wisconsin,Mental Health,Frequent mental distress among adults,10.0,%,Age-adjusted Prevalence,Sex,Male,,Overall
2020,2020,VT,Vermont,Mental Health,Frequent mental distress among adults,13.8,%,Crude Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,WA,Washington,Mental Health,Postpartum depressive symptoms among women with a recent live birth,12.4,%,Crude Prevalence,Race/Ethnicity,"Asian, non-Hispanic",,Overall
2020,2020,TX,Texas,Mental Health,Frequent mental distress among adults,13.9,%,Age-adjusted Prevalence,Race/Ethnicity,"Black, non-Hispanic",,Overall
2020,2020,VA,Virginia,Mental Health,Depression among adults,10.1,%,Crude Prevalence,Race/Ethnicity,Hispanic,,Overall
2020,2020,TX,Texas,Mental Health,Depression among adults,14.8,%,Crude Prevalence,Race/Ethnicity,Hispanic,,Overall
2020,2020,WY,Wyoming,Mental Health,Frequent mental distress among adults,16.1,%,Crude Prevalence,Age,Age 18-44,,Overall
2020,2020,TX,Texas,Mental Health,Depression among adults,22.5,%,Crude Prevalence,Sex,Female,,Overall
2020,2020,WY,Wyoming,Mental Health,Postpartum depressive symptoms among women with a recent live birth,15.1,%,Crude Prevalence,Race/Ethnicity,Hispanic,,Overall
2020,2020,TX,Texas,Mental Health,Average mentally unhealthy days among adults,2.2,Number,Crude Mean,Age,Age >=65,,Overall
2020,2020,WI,Wisconsin,Mental Health,Frequent mental distress among adults,31.2,%,Age-adjusted Prevalence,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,Overall
2020,2020,WA,Washington,Mental Health,Depression among adults,9.9,%,Age-adjusted Prevalence,Race/Ethnicity,"Asian, non-Hispanic",,Overall
2020,2020,WV,West Virginia,Mental Health,Depression among adults,49.1,%,Crude Prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",,Overall
2020,2020,VA,Virginia,Mental Health,Average mentally unhealthy days among adults,3.1,Number,Crude Mean,Overall,Overall,,Overall
2021,2021,AL,Alabama,Mental Health,Average mentally unhealthy days among adults,2.7,Number,Crude Mean,Race/Ethnicity,"Black, non-Hispanic",,Overall
2020,2020,VT,Vermont,Mental Health,Depression among adults,34.7,%,Crude Prevalence,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,Overall
2020,2020,WI,Wisconsin,Mental Health,Frequent mental distress among adults,13.2,%,Age-adjusted Prevalence,Overall,Overall,,Overall
2020,2020,VT,Vermont,Mental Health,Average mentally unhealthy days among adults,3.8,Number,Crude Mean,Sex,Female,,Overall
2021,2021,AL,Alabama,Mental Health,Depression among adults,27.4,%,Age-adjusted Prevalence,Race/Ethnicity,Hispanic,,Overall
2020,2020,WI,Wisconsin,Mental Health,Depression among adults,12.4,%,Crude Prevalence,Age,Age >=65,,Overall
2020,2020,UT,Utah,Mental Health,Average mentally unhealthy days among adults,3.3,Number,Age-adjusted Mean,Sex,Male,,Overall
2020,2020,WV,West Virginia,Mental Health,Average mentally unhealthy days among adults,2.3,Number,Age-adjusted Mean,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,VT,Vermont,Mental Health,Postpartum depressive symptoms among women with a recent live birth,11.9,%,Crude Prevalence,Overall,Overall,,Overall
2021,2021,AL,Alabama,Mental Health,Frequent mental distress among adults,21.5,%,Crude Prevalence,Sex,Female,,Overall
2020,2020,WI,Wisconsin,Mental Health,Average mentally unhealthy days among adults,4.3,Number,Crude Mean,Age,Age 18-44,,Overall
2020,2020,WA,Washington,Mental Health,Average mentally unhealthy days among adults,4.0,Number,Age-adjusted Mean,Overall,Overall,,Overall
2021,2021,AL,Alabama,Mental Health,Frequent mental distress among adults,18.4,%,Crude Prevalence,Overall,Overall,,Overall
2020,2020,TX,Texas,Mental Health,Depression among adults,17.2,%,Age-adjusted Prevalence,Race/Ethnicity,"Black, non-Hispanic",,Overall
2020,2020,UT,Utah,Mental Health,Depression among adults,19.0,%,Crude Prevalence,Race/Ethnicity,Hispanic,,Overall
2020,2020,WA,Washington,Mental Health,Postpartum depressive symptoms among women with a recent live birth,16.8,%,Crude Prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",,Overall
2020,2020,WI,Wisconsin,Mental Health,Depression among adults,13.2,%,Age-adjusted Prevalence,Sex,Male,,Overall
2020,2020,TX,Texas,Mental Health,Average mentally unhealthy days among adults,3.8,Number,Age-adjusted Mean,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,WV,West Virginia,Mental Health,Average mentally unhealthy days among adults,2.2,Number,Crude Mean,Age,Age >=65,,Overall
2020,2020,VA,Virginia,Mental Health,Depression among adults,15.5,%,Crude Prevalence,Race/Ethnicity,"Black, non-Hispanic",,Overall
2020,2020,UT,Utah,Mental Health,Frequent mental distress among adults,14.8,%,Crude Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,VA,Virginia,Mental Health,Depression among adults,17.2,%,Crude Prevalence,Overall,Overall,,Overall
2020,2020,WA,Washington,Mental Health,Frequent mental distress among adults,13.6,%,Age-adjusted Prevalence,Race/Ethnicity,"Black, non-Hispanic",,Overall
